,ticker,forecast_horizon,indicator,parameter,metric,value
117,AAPL,2,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_sell_bullish_pct,0.5870535714285714
118,AAPL,2,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_buy_bullish_pct,0.5787671232876712
119,AAPL,2,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_sell_bullish_pct,0.5672902836451418
120,AAPL,2,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_signal_accuracy,0.5206692913385826
121,AAPL,2,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_signal_accuracy,0.48322147651006714
122,AAPL,2,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_buy_p-value,0.1989919023212433
123,AAPL,2,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_sell_p-value,0.22867193399789865
124,AAPL,2,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_buy_p-value,0.3404924850215969
125,AAPL,2,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",anti-trend_sell_p-value,0.4769813131817638
126,AAPL,2,ppo,"{'fastperiod': 12, 'slowperiod': 26}",positive_ppo_pct,0.6187605952156715
127,AAPL,2,ppo,"{'fastperiod': 12, 'slowperiod': 26}",positive_ppo_bullish_pct,0.5893455098934551
128,AAPL,2,ppo,"{'fastperiod': 12, 'slowperiod': 26}",negative_ppo_bullish_pct,0.5770750988142292
129,AAPL,2,ppo,"{'fastperiod': 12, 'slowperiod': 26}",ppo_p-value,0.21532442293907234
130,AAPL,2,bbands,20,above_bb_upperband_pct,0.07929930307025805
131,AAPL,2,bbands,20,above_bb_upperband_bullish_pct,0.6009501187648456
132,AAPL,2,bbands,20,below_bb_lowerband_pct,0.042569222075720475
133,AAPL,2,bbands,20,below_bb_lowerband_bullish_pct,0.6415929203539823
